"coil_id";"parent_coil_id";"production_date";"completion_ts";"shift_code";"thickness_mm";"width_mm";"mass_out_tons";"Hours";"Grade";"NextProcess";"type_code";"is_prime";"is_scrap";"gap_from_prev_completion_min";"gap_from_prev_parent_min";"start_datetime";"end_datetime";"total_cycle_time_min"
"7232058";"7232058";"2024-04-01";"2024-04-01 00:22:22.000000";"B";1.5;1236.0;0.84;"00:22:22";"AC2 31";"13";"HX";"0";"1";0.0;0.0;"2024-04-01 00:14:58.162090";"2024-04-01 00:22:22.000000";7.397
"7232058";"7232058";"2024-04-01";"2024-04-01 00:25:08.000000";"B";1.5;1236.0;22.56;"00:25:08";"AC2 31";"13";"HL";"1";"0";2.767;0.0;"2024-04-01 00:18:01.620677";"2024-04-01 00:25:08.000000";7.106
"7241079";"7241079";"2024-04-01";"2024-04-01 00:38:51.000000";"B";1.8;1211.0;23.4;"00:38:51";"AC1 37";"13";"HL";"1";"0";13.717;13.717;"2024-04-01 00:32:19.235539";"2024-04-01 00:38:51.000000";6.529
"7255091";"7255091";"2024-04-01";"2024-04-01 00:57:57.000000";"B";2.3;1200.0;21.6;"00:57:57";"RC3 1";"13";"HL";"1";"0";19.1;19.1;"2024-04-01 00:45:37.403972";"2024-04-01 00:57:57.000000";12.327
"7240070";"7240070";"2024-04-01";"2024-04-01 01:20:00.000000";"B";1.9;1229.0;21.94;"01:20:00";"AC2 31";"13";"HL";"1";"0";22.05;0.0;"2024-04-01 01:12:33.260793";"2024-04-01 01:20:00.000000";7.446
"7265059";"7265059";"2024-04-01";"2024-04-01 01:35:16.000000";"B";1.74;1230.0;22.76;"01:35:16";"AC5 34";"13";"HL";"1";"0";15.267;15.267;"2024-04-01 01:27:53.045270";"2024-04-01 01:35:16.000000";7.383
"7263048";"7263048";"2024-04-01";"2024-04-01 01:52:01.000000";"B";1.4;1227.0;1.88;"01:52:01";"AC2 31";"13";"HX";"0";"1";16.75;16.75;"2024-04-01 01:44:20.195125";"2024-04-01 01:52:01.000000";7.68
"7263048";"7263048";"2024-04-01";"2024-04-01 02:03:05.000000";"B";1.4;1227.0;14.84;"02:03:05";"AC2 31";"13";"HL";"1";"0";11.067;16.75;"2024-04-01 01:55:36.207653";"2024-04-01 02:03:05.000000";7.48
"7151024";"7151024";"2024-04-01";"2024-04-01 02:27:46.000000";"B";2.4;1233.0;22.82;"02:27:46";"AC2 31";"13";"HL";"1";"0";24.683;0.0;"2024-04-01 02:14:08.420137";"2024-04-01 02:27:46.000000";13.626
"7263037";"7263037";"2024-04-01";"2024-04-01 02:38:24.000000";"B";1.75;1228.0;23.56;"02:38:24";"AC2 31";"13";"HL";"1";"0";10.633;10.633;"2024-04-01 02:30:19.900633";"2024-04-01 02:38:24.000000";8.068
"7122038";"7122038";"2024-04-01";"2024-04-01 02:48:49.000000";"B";1.9;1096.0;11.74;"02:48:49";"AC1 33";"13";"HL";"1";"0";10.417;10.417;"2024-04-01 02:40:10.811442";"2024-04-01 02:48:49.000000";8.636
"7255042";"7255042";"2024-04-01";"2024-04-01 02:59:52.000000";"B";2.36;1240.0;22.72;"02:59:52";"RC3 1";"4";"98";"1";"0";11.05;11.05;"2024-04-01 02:46:46.151051";"2024-04-01 02:59:52.000000";13.097
"7263041";"7263041";"2024-04-01";"2024-04-01 03:13:25.000000";"B";1.5;1226.0;21.54;"03:13:25";"AC2 31";"13";"HL";"1";"0";13.55;13.55;"2024-04-01 03:05:07.720963";"2024-04-01 03:13:25.000000";8.288
"7263041";"7263041";"2024-04-01";"2024-04-01 03:19:08.000000";"B";1.5;1226.0;1.72;"03:19:08";"AC2 31";"13";"HX";"0";"1";5.717;13.55;"2024-04-01 03:12:41.922231";"2024-04-01 03:19:08.000000";6.435
"7248065";"7248065";"2024-04-01";"2024-04-01 03:33:49.000000";"B";1.6;1236.0;22.8;"03:33:49";"AC2 31";"13";"HL";"1";"0";14.683;14.683;"2024-04-01 03:26:25.610672";"2024-04-01 03:33:49.000000";7.39
"7265050";"7265050";"2024-04-01";"2024-04-01 03:49:15.000000";"B";1.75;1231.0;22.38;"03:49:15";"AC2 31";"13";"HL";"1";"0";15.433;15.433;"2024-04-01 03:42:52.102012";"2024-04-01 03:49:15.000000";6.382
"7237035";"7237035";"2024-04-01";"2024-04-01 04:06:43.000000";"B";1.5;1232.0;21.98;"04:06:43";"AC2 31";"13";"HL";"1";"0";17.467;17.467;"2024-04-01 03:59:27.737887";"2024-04-01 04:06:43.000000";7.254
"7237036";"7237036";"2024-04-01";"2024-04-01 04:10:50.000000";"B";1.5;1229.0;0.42;"04:10:50";"AC2 31";"13";"HX";"0";"1";4.117;4.117;"2024-04-01 04:04:27.348358";"2024-04-01 04:10:50.000000";6.378
"7237036";"7237036";"2024-04-01";"2024-04-01 04:24:46.000000";"B";1.5;1229.0;23.02;"04:24:46";"AC2 31";"13";"HL";"1";"0";13.933;4.117;"2024-04-01 04:16:28.613637";"2024-04-01 04:24:46.000000";8.29
"7237042";"7237042";"2024-04-01";"2024-04-01 04:32:11.000000";"B";1.9;1232.0;22.68;"04:32:11";"AC2 31";"13";"HL";"1";"0";7.417;7.417;"2024-04-01 04:25:27.697777";"2024-04-01 04:32:11.000000";6.722
"7261072";"7261072";"2024-04-01";"2024-04-01 04:50:31.000000";"B";1.75;1231.0;23.08;"04:50:31";"AC2 31";"13";"HL";"1";"0";18.333;18.333;"2024-04-01 04:41:49.314667";"2024-04-01 04:50:31.000000";8.695
"7261071";"7261071";"2024-04-01";"2024-04-01 05:00:03.000000";"B";1.75;1232.0;1.14;"05:00:03";"AC2 31";"13";"HX";"0";"1";9.533;9.533;"2024-04-01 04:52:34.144987";"2024-04-01 05:00:03.000000";7.481
"7261071";"7261071";"2024-04-01";"2024-04-01 05:14:39.000000";"B";1.75;1232.0;22.66;"05:14:39";"AC2 31";"13";"HL";"1";"0";14.6;9.533;"2024-04-01 05:07:46.097218";"2024-04-01 05:14:39.000000";6.882
"7231032";"7231032";"2024-04-01";"2024-04-01 06:10:43.000000";"A";1.5;1232.0;2.48;"06:10:43";"AC2 31";"13";"HX";"0";"1";56.067;0.0;"2024-04-01 06:02:30.591902";"2024-04-01 06:10:43.000000";8.207
"7231032";"7231032";"2024-04-01";"2024-04-01 06:24:22.000000";"A";1.5;1232.0;20.26;"06:24:22";"AC2 31";"13";"HL";"1";"0";13.65;0.0;"2024-04-01 06:16:00.058935";"2024-04-01 06:24:22.000000";8.366
"7111024";"7111024";"2024-04-01";"2024-04-01 06:32:37.000000";"A";2.9;1240.0;2.22;"06:32:37";"AC2 31";"13";"HX";"0";"1";8.25;8.25;"2024-04-01 06:19:57.465142";"2024-04-01 06:32:37.000000";12.659
"7111024";"7111024";"2024-04-01";"2024-04-01 06:42:11.000000";"A";2.9;1240.0;20.86;"06:42:11";"AC2 31";"13";"HL";"1";"0";9.567;8.25;"2024-04-01 06:27:24.532204";"2024-04-01 06:42:11.000000";14.774
"7263036";"7263036";"2024-04-01";"2024-04-01 06:59:03.000000";"A";1.75;1227.0;2.22;"06:59:03";"AC2 31";"13";"HX";"0";"1";16.867;16.867;"2024-04-01 06:51:02.719311";"2024-04-01 06:59:03.000000";8.005
"7263036";"7263036";"2024-04-01";"2024-04-01 07:06:41.000000";"A";1.75;1227.0;21.3;"07:06:41";"AC2 31";"13";"HL";"1";"0";7.633;16.867;"2024-04-01 06:57:51.002460";"2024-04-01 07:06:41.000000";8.833
"7258036";"7258036";"2024-04-01";"2024-04-01 07:16:14.000000";"A";1.5;1227.0;1.96;"07:16:14";"AC2 31";"13";"HX";"0";"1";9.55;9.55;"2024-04-01 07:08:55.554431";"2024-04-01 07:16:14.000000";7.307
"7258036";"7258036";"2024-04-01";"2024-04-01 07:28:12.000000";"A";1.5;1227.0;20.44;"07:28:12";"AC2 31";"13";"HL";"1";"0";11.967;9.55;"2024-04-01 07:20:56.443901";"2024-04-01 07:28:12.000000";7.259
"7258036";"7258036";"2024-04-01";"2024-04-01 07:30:10.000000";"A";1.5;1227.0;0.66;"07:30:10";"AC2 31";"13";"HX";"0";"1";1.967;9.55;"2024-04-01 07:21:51.587014";"2024-04-01 07:30:10.000000";8.307
"7235035";"7235035";"2024-04-01";"2024-04-01 07:48:05.000000";"A";1.5;1237.0;22.58;"07:48:05";"AC2 32";"13";"HL";"1";"0";17.917;17.917;"2024-04-01 07:40:45.001491";"2024-04-01 07:48:05.000000";7.333
"7235035";"7235035";"2024-04-01";"2024-04-01 07:51:23.000000";"A";1.5;1237.0;0.74;"07:51:23";"AC2 32";"13";"HX";"0";"1";3.3;17.917;"2024-04-01 07:43:13.990376";"2024-04-01 07:51:23.000000";8.15
"7257025";"7257025";"2024-04-01";"2024-04-01 08:05:01.000000";"A";2.4;1231.0;11.58;"08:05:01";"AC2 32";"13";"HL";"1";"0";13.633;13.633;"2024-04-01 07:52:00.315883";"2024-04-01 08:05:01.000000";13.011
"7257025";"7257025";"2024-04-01";"2024-04-01 08:12:54.000000";"A";2.4;1231.0;12.02;"08:12:54";"AC2 32";"13";"HL";"1";"0";7.883;13.633;"2024-04-01 07:59:13.245830";"2024-04-01 08:12:54.000000";13.679
"7264099";"7264099";"2024-04-01";"2024-04-01 08:25:21.000000";"A";1.9;1229.0;22.7;"08:25:21";"AC2 31";"13";"HL";"1";"0";12.45;12.45;"2024-04-01 08:17:03.567343";"2024-04-01 08:25:21.000000";8.291
"7251037";"7251037";"2024-04-01";"2024-04-01 08:39:10.000000";"A";1.5;1230.0;16.46;"08:39:10";"AC2 31";"13";"98";"1";"0";13.817;13.817;"2024-04-01 08:32:01.244677";"2024-04-01 08:39:10.000000";7.146
"7251037";"7251037";"2024-04-01";"2024-04-01 08:46:40.000000";"A";1.5;1230.0;6.46;"08:46:40";"AC2 31";"13";"98";"1";"0";7.5;13.817;"2024-04-01 08:38:13.912440";"2024-04-01 08:46:40.000000";8.435
"7237043";"7237043";"2024-04-01";"2024-04-01 09:03:49.000000";"A";1.75;1233.0;22.88;"09:03:49";"AC2 31";"13";"HL";"1";"0";17.15;17.15;"2024-04-01 08:54:45.854471";"2024-04-01 09:03:49.000000";9.052
"7231011";"7231011";"2024-04-01";"2024-04-01 09:11:26.000000";"A";2.8;1235.0;11.5;"09:11:26";"AC2 31";"13";"HL";"1";"0";7.617;7.617;"2024-04-01 08:58:10.781523";"2024-04-01 09:11:26.000000";13.254
"7231011";"7231011";"2024-04-01";"2024-04-01 09:18:26.000000";"A";2.8;1235.0;10.94;"09:18:26";"AC2 31";"13";"HL";"1";"0";7.0;7.617;"2024-04-01 09:05:41.320079";"2024-04-01 09:18:26.000000";12.745
"7231011";"7231011";"2024-04-01";"2024-04-01 09:24:07.000000";"A";2.8;1235.0;0.7;"09:24:07";"AC2 31";"13";"HX";"0";"1";5.683;7.617;"2024-04-01 09:10:13.635004";"2024-04-01 09:24:07.000000";13.889
"7262033";"7262033";"2024-04-01";"2024-04-01 09:30:57.000000";"A";1.8;1224.0;0.96;"09:30:57";"AC2 31";"13";"HX";"0";"1";6.833;6.833;"2024-04-01 09:24:31.766959";"2024-04-01 09:30:57.000000";6.421
"7262033";"7262033";"2024-04-01";"2024-04-01 09:41:35.000000";"A";1.8;1224.0;22.04;"09:41:35";"AC2 31";"13";"HL";"1";"0";10.633;6.833;"2024-04-01 09:34:06.311786";"2024-04-01 09:41:35.000000";7.478
"7262039";"7262039";"2024-04-01";"2024-04-01 09:56:10.000000";"A";1.4;1229.0;2.12;"09:56:10";"AC2 31";"13";"HX";"0";"1";14.583;14.583;"2024-04-01 09:48:58.229550";"2024-04-01 09:56:10.000000";7.196
"7262039";"7262039";"2024-04-01";"2024-04-01 10:06:14.000000";"A";1.4;1229.0;19.82;"10:06:14";"AC2 31";"13";"HL";"1";"0";10.067;14.583;"2024-04-01 09:59:08.735430";"2024-04-01 10:06:14.000000";7.088
"7262039";"7262039";"2024-04-01";"2024-04-01 10:18:56.000000";"A";1.4;1229.0;1.86;"10:18:56";"AC2 31";"13";"HX";"0";"1";12.7;14.583;"2024-04-01 10:10:44.813307";"2024-04-01 10:18:56.000000";8.186
"7265033";"7265033";"2024-04-01";"2024-04-01 10:37:49.000000";"A";1.75;1235.0;22.94;"10:37:49";"AC2 31";"13";"HL";"1";"0";18.883;18.883;"2024-04-01 10:29:37.263377";"2024-04-01 10:37:49.000000";8.196
"7265031";"7265031";"2024-04-01";"2024-04-01 10:49:55.000000";"A";1.75;1231.0;23.0;"10:49:55";"AC2 31";"13";"HL";"1";"0";12.1;12.1;"2024-04-01 10:41:39.736848";"2024-04-01 10:49:55.000000";8.254
